"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.187193394E-2,4.483349744E1,-5.726739101E-1,1.572123781E1,6.262175735E1,6.644719243E-1,2.809688474E2,1.522188010E-2,1.600241655E1,3.000000000E0,-1.000000000E0
1.887766004E0,4.483362713E1,-5.726121063E-1,2.001661110E1,6.691709545E1,NaN,NaN,3.897374098E-2,3.500000000E1,2.372559738E1,-1.000000000E0
7.073038936E0,4.483379721E1,-5.724298778E-1,1.966006279E1,6.656042514E1,NaN,NaN,8.162253301E-2,4.000000000E1,2.118222237E1,-1.000000000E0
1.567882299E1,4.483415189E1,-5.722239978E-1,1.947079086E1,6.637102942E1,NaN,NaN,1.465737732E-1,5.832450181E1,2.176148796E1,-1.000000000E0
1.657064700E1,4.483359385E1,-5.724673668E-1,9.337757492E0,5.623813044E1,4.414739907E-1,NaN,1.579181742E-1,6.400000000E1,3.000000000E0,-1.000000000E0
1.757063711E1,4.483355612E1,-5.723336978E-1,9.290976334E0,5.619124580E1,3.740156293E-1,NaN,1.588695784E-1,6.885708872E1,3.000000000E0,-1.000000000E0
1.857062817E1,4.483354757E1,-5.723332908E-1,9.313106918E0,5.621337534E1,3.740156293E-1,NaN,1.628999474E-1,6.914975431E1,3.000000000E0,-1.000000000E0
1.957062006E1,4.483352679E1,-5.722914158E-1,9.323925018E0,5.622416025E1,2.005544305E-1,NaN,1.678882134E-1,7.169248057E1,3.000000000E0,-1.000000000E0
2.057061028E1,4.483350322E1,-5.722375906E-1,9.309663391E0,5.620985623E1,3.103983700E-1,NaN,1.709009738E-1,7.598737019E1,3.000000000E0,-1.000000000E0
2.157060111E1,4.483349369E1,-5.722018274E-1,9.260945892E0,5.616111109E1,3.011525571E-1,NaN,1.741406181E-1,7.856484762E1,3.000000000E0,-1.000000000E0
2.257059216E1,4.483348583E1,-5.721622672E-1,9.241606522E0,5.614174137E1,2.792836428E-1,NaN,1.750786867E-1,7.906237178E1,3.000000000E0,-1.000000000E0
2.357058382E1,4.483348696E1,-5.721504790E-1,9.241606522E0,5.614173263E1,8.659791350E-1,NaN,1.776887140E-1,7.813857392E1,3.000000000E0,-1.000000000E0
2.457057452E1,4.483347578E1,-5.721213733E-1,9.241606522E0,5.614170984E1,8.648675084E-1,NaN,1.806288923E-1,5.981648643E1,3.000000000E0,-1.000000000E0
2.557056546E1,4.483346457E1,-5.720876066E-1,9.241606522E0,5.614168355E1,8.648675084E-1,NaN,1.820649789E-1,5.728323685E1,3.000000000E0,-1.000000000E0
2.657055700E1,4.483345729E1,-5.720725603E-1,9.241606522E0,5.614167164E1,3.540535569E-1,NaN,1.833724128E-1,5.631392394E1,3.000000000E0,-1.000000000E0
2.757054782E1,4.483344989E1,-5.720596785E-1,9.241606522E0,5.614166134E1,3.536309004E-1,NaN,1.837100877E-1,5.553908374E1,3.000000000E0,-1.000000000E0
2.857053864E1,4.483345191E1,-5.720564846E-1,9.241606522E0,5.614165912E1,8.179783225E-1,NaN,1.852079512E-1,5.533400687E1,3.000000000E0,-1.000000000E0
2.957052946E1,4.483344808E1,-5.720382731E-1,9.241606522E0,5.614164513E1,6.869391203E-1,NaN,1.861688900E-1,5.384874485E1,3.000000000E0,-1.000000000E0
3.057052124E1,4.483345211E1,-5.720274938E-1,9.241606522E0,5.614163739E1,6.869391203E-1,NaN,1.865371756E-1,5.318472926E1,3.000000000E0,-1.000000000E0
3.157051146E1,4.483345532E1,-5.720263055E-1,9.241606522E0,5.614163678E1,2.202237546E-1,NaN,1.872150078E-1,5.304522215E1,3.000000000E0,-1.000000000E0
3.257050312E1,4.483346024E1,-5.720212359E-1,9.241606522E0,5.614163340E1,7.178473473E-1,NaN,1.884498745E-1,5.242407872E1,3.000000000E0,-1.000000000E0
3.357049382E1,4.483347129E1,-5.720196885E-1,9.241606522E0,5.614163319E1,7.178473473E-1,NaN,1.900470523E-1,5.187004138E1,3.000000000E0,-1.000000000E0
3.457048583E1,4.483348166E1,-5.720336973E-1,9.241606522E0,5.614164459E1,6.063185930E-1,NaN,1.917835007E-1,5.288544185E1,3.000000000E0,-1.000000000E0
3.557047689E1,4.483349093E1,-5.720514277E-1,9.241606522E0,5.614165869E1,5.605107546E-1,NaN,"",5.441412380E1,3.000000000E0,-1.000000000E0